seed,fold,balanced_accuracy,sensitivity_recall,specificity,precision,f1,auprc
2,1,0.882467,0.767677,0.997257,0.327586,0.459215,0.251884
2,2,0.912849,0.828283,0.997415,0.358079,0.500000,0.296889
2,3,0.886577,0.775510,0.997643,0.361905,0.493506,0.281047
2,4,0.896544,0.795918,0.997169,0.326360,0.462908,0.260107
2,5,0.881695,0.765306,0.998083,0.407609,0.531915,0.312349
