seed,fold,feature,model_importance
4,1,TA,0.081358
4,1,card1,0.101807
4,1,card2,0.020320
4,1,card3,0.020794
4,1,card5,0.143304
4,1,PCD,0.018105
4,1,M1,0.447030
4,1,M2,0.318519
4,1,M3,0.453154
4,1,M4,0.014235
4,1,card4,0.087369
4,1,card6,0.250572
4,1,DT,0.024013
4,1,DI,0.020196
4,1,M5,0.588872
4,1,M6,0.519282
4,1,M7,0.187992
4,1,M8,0.205461
4,1,M9,0.209274
4,2,TA,0.081075
4,2,card1,0.097210
4,2,card2,0.004864
4,2,card3,0.020168
4,2,card5,0.138243
4,2,PCD,0.019378
4,2,M1,0.500856
4,2,M2,0.318823
4,2,M3,0.434158
4,2,M4,0.015802
4,2,card4,0.072151
4,2,card6,0.233405
4,2,DT,0.024512
4,2,DI,0.020488
4,2,M5,0.611508
4,2,M6,0.539554
4,2,M7,0.155480
4,2,M8,0.198501
4,2,M9,0.209063
4,3,TA,0.080828
4,3,card1,0.082592
4,3,card2,0.015169
4,3,card3,0.022002
4,3,card5,0.137425
4,3,PCD,0.022122
4,3,M1,0.655346
4,3,M2,0.415046
4,3,M3,0.260753
4,3,M4,0.016040
4,3,card4,0.086760
4,3,card6,0.239074
4,3,DT,0.027754
4,3,DI,0.023324
4,3,M5,0.642420
4,3,M6,0.520039
4,3,M7,0.182891
4,3,M8,0.216487
4,3,M9,0.333263
4,4,TA,0.078852
4,4,card1,0.095474
4,4,card2,0.003177
4,4,card3,0.021319
4,4,card5,0.148906
4,4,PCD,0.020290
4,4,M1,0.535409
4,4,M2,0.336366
4,4,M3,0.420722
4,4,M4,0.015909
4,4,card4,0.085378
4,4,card6,0.255215
4,4,DT,0.026114
4,4,DI,0.022332
4,4,M5,0.619219
4,4,M6,0.517943
4,4,M7,0.175676
4,4,M8,0.218917
4,4,M9,0.194828
4,5,TA,0.080300
4,5,card1,0.091470
4,5,card2,0.015798
4,5,card3,0.020518
4,5,card5,0.156482
4,5,PCD,0.016352
4,5,M1,0.498646
4,5,M2,0.337780
4,5,M3,0.342434
4,5,M4,0.014693
4,5,card4,0.105202
4,5,card6,0.255842
4,5,DT,0.021005
4,5,DI,0.019430
4,5,M5,0.556771
4,5,M6,0.511915
4,5,M7,0.204225
4,5,M8,0.221785
4,5,M9,0.188284
