seed,fold,feature,model_importance
5,1,TA,0.082059
5,1,card1,0.087892
5,1,card2,0.008233
5,1,card3,0.021189
5,1,card5,0.150734
5,1,PCD,0.015870
5,1,M1,0.352901
5,1,M2,0.325594
5,1,M3,0.471504
5,1,M4,0.015216
5,1,card4,0.092288
5,1,card6,0.248669
5,1,DT,0.022721
5,1,DI,0.020208
5,1,M5,0.530555
5,1,M6,0.517321
5,1,M7,0.171040
5,1,M8,0.203378
5,1,M9,0.212054
5,2,TA,0.081309
5,2,card1,0.099182
5,2,card2,0.012690
5,2,card3,0.021214
5,2,card5,0.143995
5,2,PCD,0.025213
5,2,M1,0.573621
5,2,M2,0.403320
5,2,M3,0.505181
5,2,M4,0.018514
5,2,card4,0.087103
5,2,card6,0.237600
5,2,DT,0.031112
5,2,DI,0.025521
5,2,M5,0.678425
5,2,M6,0.520915
5,2,M7,0.197055
5,2,M8,0.221081
5,2,M9,0.267170
5,3,TA,0.079732
5,3,card1,0.096516
5,3,card2,0.012721
5,3,card3,0.021571
5,3,card5,0.138552
5,3,PCD,0.019479
5,3,M1,0.486957
5,3,M2,0.376874
5,3,M3,0.456522
5,3,M4,0.015745
5,3,card4,0.088772
5,3,card6,0.247129
5,3,DT,0.023269
5,3,DI,0.020256
5,3,M5,0.610743
5,3,M6,0.544311
5,3,M7,0.138148
5,3,M8,0.185485
5,3,M9,0.225635
5,4,TA,0.080015
5,4,card1,0.083438
5,4,card2,0.009129
5,4,card3,0.020592
5,4,card5,0.151781
5,4,PCD,0.022574
5,4,M1,0.579802
5,4,M2,0.350011
5,4,M3,0.385354
5,4,M4,0.014788
5,4,card4,0.083926
5,4,card6,0.257070
5,4,DT,0.027031
5,4,DI,0.022275
5,4,M5,0.631345
5,4,M6,0.515430
5,4,M7,0.240876
5,4,M8,0.227030
5,4,M9,0.193481
5,5,TA,0.080765
5,5,card1,0.098402
5,5,card2,0.001720
5,5,card3,0.020257
5,5,card5,0.136800
5,5,PCD,0.015674
5,5,M1,0.571254
5,5,M2,0.327492
5,5,M3,0.251245
5,5,M4,0.012689
5,5,card4,0.078865
5,5,card6,0.243638
5,5,DT,0.022224
5,5,DI,0.018127
5,5,M5,0.555198
5,5,M6,0.515141
5,5,M7,0.149612
5,5,M8,0.194769
5,5,M9,0.193070
