seed,fold,feature,shap_importance,time_to_generate
2,1,TA,0.030417,0.016978
2,1,card1,0.037917,0.016978
2,1,card2,0.006250,0.016978
2,1,card3,0.325833,0.016978
2,1,card5,0.013750,0.016978
2,1,PCD,0.332917,0.016978
2,1,M1,0.189167,0.016978
2,1,M2,0.171250,0.016978
2,1,M3,0.178333,0.016978
2,1,M4,0.053750,0.016978
2,1,card4,0.048750,0.016978
2,1,card6,0.045417,0.016978
2,1,DT,0.022500,0.016978
2,1,DI,0.013750,0.016978
2,1,M5,0.237083,0.016978
2,1,M6,0.025417,0.016978
2,1,M7,0.031250,0.016978
2,1,M8,0.031667,0.016978
2,1,M9,0.083750,0.016978
2,2,TA,0.039583,0.016436
2,2,card1,0.002500,0.016436
2,2,card2,0.000833,0.016436
2,2,card3,0.040000,0.016436
2,2,card5,0.010417,0.016436
2,2,PCD,0.072917,0.016436
2,2,M1,0.246667,0.016436
2,2,M2,0.115417,0.016436
2,2,M3,0.147917,0.016436
2,2,M4,0.016250,0.016436
2,2,card4,0.038750,0.016436
2,2,card6,0.017083,0.016436
2,2,DT,0.021250,0.016436
2,2,DI,0.027917,0.016436
2,2,M5,0.444167,0.016436
2,2,M6,0.118333,0.016436
2,2,M7,0.074167,0.016436
2,2,M8,0.027083,0.016436
2,2,M9,0.046250,0.016436
2,3,TA,0.001250,0.016012
2,3,card1,0.000417,0.016012
2,3,card2,0.002083,0.016012
2,3,card3,0.085000,0.016012
2,3,card5,0.027500,0.016012
2,3,PCD,0.113333,0.016012
2,3,M1,0.177500,0.016012
2,3,M2,0.225417,0.016012
2,3,M3,0.121667,0.016012
2,3,M4,0.026667,0.016012
2,3,card4,0.027500,0.016012
2,3,card6,0.035417,0.016012
2,3,DT,0.023750,0.016012
2,3,DI,0.035833,0.016012
2,3,M5,0.323333,0.016012
2,3,M6,0.025833,0.016012
2,3,M7,0.031250,0.016012
2,3,M8,0.052083,0.016012
2,3,M9,0.053333,0.016012
2,4,TA,0.020833,0.016032
2,4,card1,0.014583,0.016032
2,4,card2,0.000417,0.016032
2,4,card3,0.024167,0.016032
2,4,card5,0.022917,0.016032
2,4,PCD,0.070417,0.016032
2,4,M1,0.335417,0.016032
2,4,M2,0.122500,0.016032
2,4,M3,0.057917,0.016032
2,4,M4,0.017500,0.016032
2,4,card4,0.033333,0.016032
2,4,card6,0.035833,0.016032
2,4,DT,0.024583,0.016032
2,4,DI,0.037083,0.016032
2,4,M5,0.480417,0.016032
2,4,M6,0.130833,0.016032
2,4,M7,0.049583,0.016032
2,4,M8,0.041667,0.016032
2,4,M9,0.081667,0.016032
2,5,TA,0.001250,0.016099
2,5,card1,0.006667,0.016099
2,5,card2,0.000000,0.016099
2,5,card3,0.306667,0.016099
2,5,card5,0.034583,0.016099
2,5,PCD,0.186250,0.016099
2,5,M1,0.097917,0.016099
2,5,M2,0.087917,0.016099
2,5,M3,0.125000,0.016099
2,5,M4,0.022083,0.016099
2,5,card4,0.005417,0.016099
2,5,card6,0.005417,0.016099
2,5,DT,0.011667,0.016099
2,5,DI,0.005833,0.016099
2,5,M5,0.169583,0.016099
2,5,M6,0.015417,0.016099
2,5,M7,0.052500,0.016099
2,5,M8,0.029583,0.016099
2,5,M9,0.071250,0.016099
