seed,fold,feature,shap_importance,time_to_generate
1,1,Time,0.001250,2.373939
1,1,V1,0.066875,2.373939
1,1,V2,0.001250,2.373939
1,1,V3,0.026250,2.373939
1,1,V4,0.123750,2.373939
1,1,V5,0.011875,2.373939
1,1,V6,0.003750,2.373939
1,1,V7,0.080000,2.373939
1,1,V8,0.000625,2.373939
1,1,V9,0.020000,2.373939
1,1,V10,0.059375,2.373939
1,1,V11,0.006875,2.373939
1,1,V12,0.088125,2.373939
1,1,V13,0.001250,2.373939
1,1,V14,0.103750,2.373939
1,1,V15,0.000000,2.373939
1,1,V16,0.027500,2.373939
1,1,V17,0.062500,2.373939
1,1,V18,0.001875,2.373939
1,1,V19,0.001875,2.373939
1,1,V20,0.001875,2.373939
1,1,V21,0.001250,2.373939
1,1,V22,0.000000,2.373939
1,1,V23,0.001250,2.373939
1,1,V24,0.000000,2.373939
1,1,V25,0.000625,2.373939
1,1,V26,0.000625,2.373939
1,1,V27,0.000000,2.373939
1,1,V28,0.000000,2.373939
1,1,Amount,0.003125,2.373939
1,2,Time,0.004375,0.013588
1,2,V1,0.050625,0.013588
1,2,V2,0.013750,0.013588
1,2,V3,0.016250,0.013588
1,2,V4,0.006875,0.013588
1,2,V5,0.031875,0.013588
1,2,V6,0.000000,0.013588
1,2,V7,0.058125,0.013588
1,2,V8,0.003750,0.013588
1,2,V9,0.038750,0.013588
1,2,V10,0.089375,0.013588
1,2,V11,0.055625,0.013588
1,2,V12,0.033750,0.013588
1,2,V13,0.000000,0.013588
1,2,V14,0.104375,0.013588
1,2,V15,0.000000,0.013588
1,2,V16,0.077500,0.013588
1,2,V17,0.051875,0.013588
1,2,V18,0.022500,0.013588
1,2,V19,0.001250,0.013588
1,2,V20,0.000625,0.013588
1,2,V21,0.000000,0.013588
1,2,V22,0.005625,0.013588
1,2,V23,0.011875,0.013588
1,2,V24,0.001250,0.013588
1,2,V25,0.000000,0.013588
1,2,V26,0.000000,0.013588
1,2,V27,0.000625,0.013588
1,2,V28,0.010625,0.013588
1,2,Amount,0.001250,0.013588
1,3,Time,0.044375,0.013527
1,3,V1,0.025625,0.013527
1,3,V2,0.006875,0.013527
1,3,V3,0.043750,0.013527
1,3,V4,0.008125,0.013527
1,3,V5,0.012500,0.013527
1,3,V6,0.008750,0.013527
1,3,V7,0.026875,0.013527
1,3,V8,0.000625,0.013527
1,3,V9,0.021875,0.013527
1,3,V10,0.030000,0.013527
1,3,V11,0.025000,0.013527
1,3,V12,0.081875,0.013527
1,3,V13,0.038750,0.013527
1,3,V14,0.233125,0.013527
1,3,V15,0.000000,0.013527
1,3,V16,0.055625,0.013527
1,3,V17,0.115000,0.013527
1,3,V18,0.041875,0.013527
1,3,V19,0.086875,0.013527
1,3,V20,0.015000,0.013527
1,3,V21,0.003125,0.013527
1,3,V22,0.027500,0.013527
1,3,V23,0.004375,0.013527
1,3,V24,0.000000,0.013527
1,3,V25,0.001875,0.013527
1,3,V26,0.001250,0.013527
1,3,V27,0.005000,0.013527
1,3,V28,0.006875,0.013527
1,3,Amount,0.031250,0.013527
1,4,Time,0.005000,0.013338
1,4,V1,0.151875,0.013338
1,4,V2,0.036875,0.013338
1,4,V3,0.020625,0.013338
1,4,V4,0.068125,0.013338
1,4,V5,0.038750,0.013338
1,4,V6,0.026250,0.013338
1,4,V7,0.035000,0.013338
1,4,V8,0.011875,0.013338
1,4,V9,0.053750,0.013338
1,4,V10,0.126875,0.013338
1,4,V11,0.126875,0.013338
1,4,V12,0.076250,0.013338
1,4,V13,0.001250,0.013338
1,4,V14,0.058750,0.013338
1,4,V15,0.000000,0.013338
1,4,V16,0.066250,0.013338
1,4,V17,0.046250,0.013338
1,4,V18,0.021875,0.013338
1,4,V19,0.006250,0.013338
1,4,V20,0.015000,0.013338
1,4,V21,0.007500,0.013338
1,4,V22,0.002500,0.013338
1,4,V23,0.007500,0.013338
1,4,V24,0.000000,0.013338
1,4,V25,0.000000,0.013338
1,4,V26,0.006250,0.013338
1,4,V27,0.001875,0.013338
1,4,V28,0.003125,0.013338
1,4,Amount,0.005000,0.013338
1,5,Time,0.001250,0.013330
1,5,V1,0.086250,0.013330
1,5,V2,0.048125,0.013330
1,5,V3,0.069375,0.013330
1,5,V4,0.124375,0.013330
1,5,V5,0.004375,0.013330
1,5,V6,0.000000,0.013330
1,5,V7,0.065000,0.013330
1,5,V8,0.000000,0.013330
1,5,V9,0.033750,0.013330
1,5,V10,0.074375,0.013330
1,5,V11,0.036250,0.013330
1,5,V12,0.097500,0.013330
1,5,V13,0.005000,0.013330
1,5,V14,0.118750,0.013330
1,5,V15,0.000625,0.013330
1,5,V16,0.010000,0.013330
1,5,V17,0.061250,0.013330
1,5,V18,0.000625,0.013330
1,5,V19,0.001250,0.013330
1,5,V20,0.001250,0.013330
1,5,V21,0.000000,0.013330
1,5,V22,0.001250,0.013330
1,5,V23,0.001875,0.013330
1,5,V24,0.000000,0.013330
1,5,V25,0.000000,0.013330
1,5,V26,0.000625,0.013330
1,5,V27,0.000000,0.013330
1,5,V28,0.007500,0.013330
1,5,Amount,0.001875,0.013330
