seed,fold,feature,model_importance
1,1,Time,0.790025
1,1,V1,1.837635
1,1,V2,0.262229
1,1,V3,0.501900
1,1,V4,1.515420
1,1,V5,0.899048
1,1,V6,0.470106
1,1,V7,0.425080
1,1,V8,0.300584
1,1,V9,0.804674
1,1,V10,1.426190
1,1,V11,1.121128
1,1,V12,1.327291
1,1,V13,0.474134
1,1,V14,1.547670
1,1,V15,0.155896
1,1,V16,1.004334
1,1,V17,1.001613
1,1,V18,0.249016
1,1,V19,0.456799
1,1,V20,0.316709
1,1,V21,0.035908
1,1,V22,0.567941
1,1,V23,0.131299
1,1,V24,0.111174
1,1,V25,0.151612
1,1,V26,0.416749
1,1,V27,0.004029
1,1,V28,0.060355
1,1,Amount,0.425713
1,2,Time,0.530755
1,2,V1,1.604679
1,2,V2,0.544702
1,2,V3,0.520492
1,2,V4,1.382993
1,2,V5,0.893062
1,2,V6,0.529089
1,2,V7,0.432595
1,2,V8,0.223804
1,2,V9,0.546573
1,2,V10,0.856074
1,2,V11,0.992026
1,2,V12,1.095663
1,2,V13,0.419169
1,2,V14,1.357429
1,2,V15,0.014190
1,2,V16,0.708404
1,2,V17,0.737303
1,2,V18,0.311641
1,2,V19,0.304667
1,2,V20,0.241767
1,2,V21,0.032728
1,2,V22,0.403181
1,2,V23,0.153185
1,2,V24,0.098340
1,2,V25,0.028646
1,2,V26,0.315787
1,2,V27,0.042144
1,2,V28,0.108853
1,2,Amount,0.478144
1,3,Time,1.151202
1,3,V1,1.560642
1,3,V2,0.295406
1,3,V3,0.248587
1,3,V4,1.540419
1,3,V5,0.834010
1,3,V6,0.521787
1,3,V7,0.273710
1,3,V8,0.317789
1,3,V9,0.583258
1,3,V10,1.010764
1,3,V11,0.832339
1,3,V12,1.032957
1,3,V13,0.611235
1,3,V14,1.428163
1,3,V15,0.139329
1,3,V16,0.606827
1,3,V17,0.920642
1,3,V18,0.521340
1,3,V19,0.371205
1,3,V20,0.196690
1,3,V21,0.082141
1,3,V22,0.855918
1,3,V23,0.106810
1,3,V24,0.045702
1,3,V25,0.061383
1,3,V26,0.377714
1,3,V27,0.072219
1,3,V28,0.096637
1,3,Amount,0.373453
1,4,Time,0.731933
1,4,V1,1.605176
1,4,V2,0.619358
1,4,V3,0.472840
1,4,V4,1.387166
1,4,V5,0.915327
1,4,V6,0.556756
1,4,V7,0.372440
1,4,V8,0.226344
1,4,V9,0.609031
1,4,V10,1.326831
1,4,V11,0.709415
1,4,V12,1.040059
1,4,V13,0.511321
1,4,V14,1.276706
1,4,V15,0.066555
1,4,V16,0.486356
1,4,V17,0.831902
1,4,V18,0.285830
1,4,V19,0.342871
1,4,V20,0.284228
1,4,V21,0.058552
1,4,V22,0.602955
1,4,V23,0.126228
1,4,V24,0.042547
1,4,V25,0.023892
1,4,V26,0.188082
1,4,V27,0.007646
1,4,V28,0.061081
1,4,Amount,0.475898
1,5,Time,0.627750
1,5,V1,1.564298
1,5,V2,0.978070
1,5,V3,0.801518
1,5,V4,1.297388
1,5,V5,1.060094
1,5,V6,0.789883
1,5,V7,0.576844
1,5,V8,0.222606
1,5,V9,0.655009
1,5,V10,0.801932
1,5,V11,0.850359
1,5,V12,1.113531
1,5,V13,0.609739
1,5,V14,1.407456
1,5,V15,0.160276
1,5,V16,0.766390
1,5,V17,0.890096
1,5,V18,0.147276
1,5,V19,0.177186
1,5,V20,0.309691
1,5,V21,0.000732
1,5,V22,0.713406
1,5,V23,0.249174
1,5,V24,0.104655
1,5,V25,0.010109
1,5,V26,0.216763
1,5,V27,0.039542
1,5,V28,0.169206
1,5,Amount,0.624615
