seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
1,1,PCD,PCD <= -0.34,-0.163661,0.030563
1,1,card3,card3 <= 0.00,-0.123849,0.030563
1,1,M9,M9 <= -0.68,0.107635,0.030563
1,1,DI,DI <= -0.66,-0.091213,0.030563
1,1,M4,M4 > 0.14,-0.079823,0.030563
1,1,card5,-0.03 < card5 <= 0.00,-0.051336,0.030563
1,1,TA,-0.36 < TA <= 0.02,-0.049554,0.030563
1,1,M7,M7 <= -0.72,-0.033044,0.030563
1,1,card4,card4 <= -0.55,-0.030766,0.030563
1,1,M1,M1 <= -0.75,-0.030646,0.030563
1,2,PCD,PCD <= -0.36,-0.121117,0.029642
1,2,DI,DI <= -0.73,-0.105237,0.029642
1,2,M1,M1 <= -0.78,0.095638,0.029642
1,2,card3,card3 <= 0.00,-0.070664,0.029642
1,2,TA,-0.36 < TA <= 0.02,-0.055738,0.029642
1,2,M4,M4 <= -0.64,0.048508,0.029642
1,2,M3,M3 <= -0.59,-0.037316,0.029642
1,2,M7,M7 <= -0.73,0.036566,0.029642
1,2,M6,M6 <= -0.26,-0.034804,0.029642
1,2,card2,-0.46 < card2 <= 0.00,0.027109,0.029642
1,3,TA,TA > 0.95,0.147198,0.030155
1,3,M5,M5 <= -0.62,-0.118709,0.030155
1,3,PCD,PCD <= -0.35,-0.105061,0.030155
1,3,card3,card3 <= 0.00,-0.086238,0.030155
1,3,M1,M1 <= -0.78,0.056910,0.030155
1,3,M3,M3 <= -0.64,-0.054049,0.030155
1,3,M8,M8 <= -0.47,-0.038926,0.030155
1,3,DI,DI <= -0.68,-0.038807,0.030155
1,3,card5,card5 <= -1.00,0.033379,0.030155
1,3,DT,DT <= -0.61,-0.021610,0.030155
1,4,card3,card3 <= 0.00,-0.085847,0.030745
1,4,PCD,PCD <= -0.30,-0.078628,0.030745
1,4,DI,DI <= -0.68,-0.058974,0.030745
1,4,card6,card6 <= -0.09,-0.043696,0.030745
1,4,card1,card1 > 0.48,-0.035958,0.030745
1,4,M1,M1 <= -0.80,-0.035743,0.030745
1,4,M7,M7 <= -0.75,0.030625,0.030745
1,4,DT,DT <= -0.62,-0.030284,0.030745
1,4,M5,0.01 < M5 <= 0.17,0.028792,0.030745
1,4,M8,-0.46 < M8 <= 0.16,-0.019389,0.030745
1,5,PCD,PCD > 36.79,0.263828,0.030443
1,5,M5,M5 <= -0.65,-0.149215,0.030443
1,5,card3,card3 > 0.00,0.097822,0.030443
1,5,DT,DT > 0.28,0.085720,0.030443
1,5,TA,-0.36 < TA <= 0.02,-0.063550,0.030443
1,5,DI,DI <= -0.68,-0.051675,0.030443
1,5,M9,M9 <= -0.64,0.048134,0.030443
1,5,card6,card6 <= -0.11,-0.040691,0.030443
1,5,M1,M1 <= -0.72,-0.039143,0.030443
1,5,card5,-1.00 < card5 <= -0.03,0.027436,0.030443
