seed,fold,balanced_accuracy,sensitivity_recall,specificity,precision,f1,auprc
2,1,0.953233,0.929293,0.977173,0.066187,0.123573,0.061630
2,2,0.952635,0.929293,0.975977,0.063100,0.118176,0.058761
2,3,0.937434,0.897959,0.976909,0.062812,0.117412,0.056578
2,4,0.941868,0.908163,0.975573,0.060217,0.112944,0.054844
2,5,0.942044,0.908163,0.975925,0.061043,0.114396,0.055595
