seed,fold,feature,model_importance
2,1,Time,0.870197
2,1,V1,1.787528
2,1,V2,0.666441
2,1,V3,0.850254
2,1,V4,1.430601
2,1,V5,1.008628
2,1,V6,0.687590
2,1,V7,0.666957
2,1,V8,0.216942
2,1,V9,0.829292
2,1,V10,1.229044
2,1,V11,0.705488
2,1,V12,1.181490
2,1,V13,0.470277
2,1,V14,1.341428
2,1,V15,0.122478
2,1,V16,0.690300
2,1,V17,0.898775
2,1,V18,0.184291
2,1,V19,0.206816
2,1,V20,0.403136
2,1,V21,0.074206
2,1,V22,0.963664
2,1,V23,0.177456
2,1,V24,0.155767
2,1,V25,0.110261
2,1,V26,0.676694
2,1,V27,0.029214
2,1,V28,0.077444
2,1,Amount,0.610066
2,2,Time,0.518828
2,2,V1,1.644265
2,2,V2,0.639946
2,2,V3,0.415562
2,2,V4,1.423318
2,2,V5,0.930698
2,2,V6,0.549339
2,2,V7,0.430557
2,2,V8,0.236345
2,2,V9,0.562482
2,2,V10,0.950444
2,2,V11,0.916150
2,2,V12,1.079386
2,2,V13,0.490154
2,2,V14,1.319730
2,2,V15,0.102650
2,2,V16,0.858377
2,2,V17,0.747926
2,2,V18,0.268984
2,2,V19,0.258268
2,2,V20,0.266924
2,2,V21,0.046297
2,2,V22,0.482351
2,2,V23,0.158560
2,2,V24,0.075340
2,2,V25,0.027106
2,2,V26,0.335090
2,2,V27,0.067049
2,2,V28,0.120138
2,2,Amount,0.494686
2,3,Time,0.717331
2,3,V1,1.791437
2,3,V2,0.890505
2,3,V3,0.788415
2,3,V4,1.225216
2,3,V5,0.998133
2,3,V6,0.712072
2,3,V7,0.555312
2,3,V8,0.234691
2,3,V9,0.741569
2,3,V10,0.831706
2,3,V11,1.005423
2,3,V12,1.109052
2,3,V13,0.491305
2,3,V14,1.557555
2,3,V15,0.194665
2,3,V16,0.722338
2,3,V17,0.944287
2,3,V18,0.358121
2,3,V19,0.327291
2,3,V20,0.307433
2,3,V21,0.020614
2,3,V22,0.564051
2,3,V23,0.274586
2,3,V24,0.038109
2,3,V25,0.143536
2,3,V26,0.132884
2,3,V27,0.035551
2,3,V28,0.158870
2,3,Amount,0.617702
2,4,Time,0.713174
2,4,V1,1.718770
2,4,V2,0.085747
2,4,V3,0.429570
2,4,V4,1.390660
2,4,V5,0.763867
2,4,V6,0.498657
2,4,V7,0.398250
2,4,V8,0.316793
2,4,V9,0.876291
2,4,V10,1.404810
2,4,V11,0.954425
2,4,V12,1.184322
2,4,V13,0.602856
2,4,V14,1.585002
2,4,V15,0.021802
2,4,V16,0.771457
2,4,V17,0.980525
2,4,V18,0.305492
2,4,V19,0.433553
2,4,V20,0.238686
2,4,V21,0.084629
2,4,V22,0.574893
2,4,V23,0.082907
2,4,V24,0.013822
2,4,V25,0.076175
2,4,V26,0.310026
2,4,V27,0.030824
2,4,V28,0.081647
2,4,Amount,0.352562
2,5,Time,1.186784
2,5,V1,1.138207
2,5,V2,1.508546
2,5,V3,0.117958
2,5,V4,3.073359
2,5,V5,1.907262
2,5,V6,0.588971
2,5,V7,0.442946
2,5,V8,0.255348
2,5,V9,1.481321
2,5,V10,2.190499
2,5,V11,1.418123
2,5,V12,0.700401
2,5,V13,1.191200
2,5,V14,1.156063
2,5,V15,0.205273
2,5,V16,1.631476
2,5,V17,1.161328
2,5,V18,2.369636
2,5,V19,1.504188
2,5,V20,0.012650
2,5,V21,0.275438
2,5,V22,1.553498
2,5,V23,0.099513
2,5,V24,0.050068
2,5,V25,0.078842
2,5,V26,0.128917
2,5,V27,0.058137
2,5,V28,0.077756
2,5,Amount,0.400751
