seed,fold,balanced_accuracy,sensitivity_recall,specificity,precision,f1,auprc
3,1,0.873394,0.747475,0.999314,0.654867,0.698113,0.489936
3,2,0.913930,0.828283,0.999578,0.773585,0.800000,0.641046
3,3,0.867057,0.734694,0.999420,0.685714,0.709360,0.504247
3,4,0.913063,0.826531,0.999596,0.778846,0.801980,0.644039
3,5,0.913002,0.826531,0.999472,0.729730,0.775120,0.603442
