seed,fold,balanced_accuracy,sensitivity_recall,specificity,precision,f1,auprc
2,1,0.639714,0.303485,0.975942,0.313814,0.308563,0.119605
2,2,0.578806,0.362778,0.794834,0.060242,0.103326,0.044148
2,3,0.575125,0.382047,0.768204,0.056397,0.098285,0.043171
2,4,0.603093,0.346480,0.859706,0.082195,0.132869,0.051348
2,5,0.604866,0.230825,0.978908,0.284098,0.254706,0.092493
