seed,fold,feature,shap_importance,time_to_generate
2,1,TA,0.033750,1.596865
2,1,card1,0.027500,1.596865
2,1,card2,0.037500,1.596865
2,1,card3,0.143333,1.596865
2,1,card5,0.077917,1.596865
2,1,PCD,0.115000,1.596865
2,1,M1,0.011667,1.596865
2,1,M2,0.056667,1.596865
2,1,M3,0.010417,1.596865
2,1,M4,0.035000,1.596865
2,1,card4,0.030000,1.596865
2,1,card6,0.027083,1.596865
2,1,DT,0.011250,1.596865
2,1,DI,0.027500,1.596865
2,1,M5,0.031667,1.596865
2,1,M6,0.044583,1.596865
2,1,M7,0.004583,1.596865
2,1,M8,0.007500,1.596865
2,1,M9,0.003750,1.596865
2,2,TA,0.018333,1.628380
2,2,card1,0.055000,1.628380
2,2,card2,0.046250,1.628380
2,2,card3,0.030833,1.628380
2,2,card5,0.010000,1.628380
2,2,PCD,0.096250,1.628380
2,2,M1,0.012917,1.628380
2,2,M2,0.004167,1.628380
2,2,M3,0.009583,1.628380
2,2,M4,0.063333,1.628380
2,2,card4,0.042917,1.628380
2,2,card6,0.045000,1.628380
2,2,DT,0.030417,1.628380
2,2,DI,0.023333,1.628380
2,2,M5,0.075833,1.628380
2,2,M6,0.145833,1.628380
2,2,M7,0.006250,1.628380
2,2,M8,0.009583,1.628380
2,2,M9,0.005000,1.628380
2,3,TA,0.111250,1.699261
2,3,card1,0.070000,1.699261
2,3,card2,0.071250,1.699261
2,3,card3,0.023333,1.699261
2,3,card5,0.001250,1.699261
2,3,PCD,0.032917,1.699261
2,3,M1,0.010833,1.699261
2,3,M2,0.057500,1.699261
2,3,M3,0.065833,1.699261
2,3,M4,0.133750,1.699261
2,3,card4,0.074167,1.699261
2,3,card6,0.027500,1.699261
2,3,DT,0.010000,1.699261
2,3,DI,0.007083,1.699261
2,3,M5,0.020833,1.699261
2,3,M6,0.063333,1.699261
2,3,M7,0.000833,1.699261
2,3,M8,0.002500,1.699261
2,3,M9,0.004167,1.699261
2,4,TA,0.043750,1.609897
2,4,card1,0.123333,1.609897
2,4,card2,0.090833,1.609897
2,4,card3,0.034583,1.609897
2,4,card5,0.016250,1.609897
2,4,PCD,0.004583,1.609897
2,4,M1,0.021250,1.609897
2,4,M2,0.006250,1.609897
2,4,M3,0.006250,1.609897
2,4,M4,0.067083,1.609897
2,4,card4,0.006250,1.609897
2,4,card6,0.080000,1.609897
2,4,DT,0.003750,1.609897
2,4,DI,0.017500,1.609897
2,4,M5,0.112917,1.609897
2,4,M6,0.015000,1.609897
2,4,M7,0.017500,1.609897
2,4,M8,0.026250,1.609897
2,4,M9,0.005833,1.609897
2,5,TA,0.007917,1.665508
2,5,card1,0.083750,1.665508
2,5,card2,0.010833,1.665508
2,5,card3,0.149167,1.665508
2,5,card5,0.081250,1.665508
2,5,PCD,0.042500,1.665508
2,5,M1,0.010417,1.665508
2,5,M2,0.015833,1.665508
2,5,M3,0.004583,1.665508
2,5,M4,0.002917,1.665508
2,5,card4,0.153333,1.665508
2,5,card6,0.055000,1.665508
2,5,DT,0.008750,1.665508
2,5,DI,0.031250,1.665508
2,5,M5,0.038750,1.665508
2,5,M6,0.059167,1.665508
2,5,M7,0.021250,1.665508
2,5,M8,0.015833,1.665508
2,5,M9,0.008333,1.665508
