dataset,ieee-cis,ieee-cis,kaggle,kaggle,synthetic,synthetic
,LIME Total Agreements,SHAP Total Agreements,LIME Total Agreements,SHAP Total Agreements,LIME Total Agreements,SHAP Total Agreements
algorithm,,,,,,
DecisionTree,112,97,137,141,206,211
LinearSVC,144,164,168,178,204,217
LogisticRegression,148,162,166,186,203,217
MLP,101,122,135,130,204,211
RandomForest,107,100,164,159,204,211
