seed,fold,feature,shap_importance,time_to_generate
1,1,TA,0.015833,0.021657
1,1,card1,0.167917,0.021657
1,1,card2,0.050417,0.021657
1,1,card3,0.004167,0.021657
1,1,card5,0.029167,0.021657
1,1,PCD,0.037500,0.021657
1,1,M1,0.000417,0.021657
1,1,M2,0.002917,0.021657
1,1,M3,0.008333,0.021657
1,1,M4,0.011250,0.021657
1,1,card4,0.147083,0.021657
1,1,card6,0.013333,0.021657
1,1,DT,0.090000,0.021657
1,1,DI,0.027500,0.021657
1,1,M5,0.092917,0.021657
1,1,M6,0.069583,0.021657
1,1,M7,0.001250,0.021657
1,1,M8,0.072500,0.021657
1,1,M9,0.002083,0.021657
1,2,TA,0.024583,0.021111
1,2,card1,0.087500,0.021111
1,2,card2,0.025833,0.021111
1,2,card3,0.017917,0.021111
1,2,card5,0.045417,0.021111
1,2,PCD,0.051667,0.021111
1,2,M1,0.022917,0.021111
1,2,M2,0.005833,0.021111
1,2,M3,0.047083,0.021111
1,2,M4,0.012083,0.021111
1,2,card4,0.031250,0.021111
1,2,card6,0.008750,0.021111
1,2,DT,0.130000,0.021111
1,2,DI,0.014583,0.021111
1,2,M5,0.009583,0.021111
1,2,M6,0.070417,0.021111
1,2,M7,0.016250,0.021111
1,2,M8,0.094167,0.021111
1,2,M9,0.003333,0.021111
1,3,TA,0.072500,0.022533
1,3,card1,0.006250,0.022533
1,3,card2,0.027500,0.022533
1,3,card3,0.028750,0.022533
1,3,card5,0.112500,0.022533
1,3,PCD,0.070000,0.022533
1,3,M1,0.004167,0.022533
1,3,M2,0.002500,0.022533
1,3,M3,0.006667,0.022533
1,3,M4,0.023333,0.022533
1,3,card4,0.113750,0.022533
1,3,card6,0.046667,0.022533
1,3,DT,0.055417,0.022533
1,3,DI,0.018333,0.022533
1,3,M5,0.052917,0.022533
1,3,M6,0.037500,0.022533
1,3,M7,0.007083,0.022533
1,3,M8,0.002917,0.022533
1,3,M9,0.112917,0.022533
1,4,TA,0.003750,0.021864
1,4,card1,0.069583,0.021864
1,4,card2,0.015833,0.021864
1,4,card3,0.035833,0.021864
1,4,card5,0.000000,0.021864
1,4,PCD,0.008750,0.021864
1,4,M1,0.107083,0.021864
1,4,M2,0.000417,0.021864
1,4,M3,0.035000,0.021864
1,4,M4,0.103750,0.021864
1,4,card4,0.027083,0.021864
1,4,card6,0.011250,0.021864
1,4,DT,0.014583,0.021864
1,4,DI,0.015833,0.021864
1,4,M5,0.032500,0.021864
1,4,M6,0.030417,0.021864
1,4,M7,0.000417,0.021864
1,4,M8,0.088333,0.021864
1,4,M9,0.067917,0.021864
1,5,TA,0.217083,0.021105
1,5,card1,0.039583,0.021105
1,5,card2,0.006250,0.021105
1,5,card3,0.144167,0.021105
1,5,card5,0.031250,0.021105
1,5,PCD,0.057917,0.021105
1,5,M1,0.000833,0.021105
1,5,M2,0.003750,0.021105
1,5,M3,0.010000,0.021105
1,5,M4,0.065000,0.021105
1,5,card4,0.134167,0.021105
1,5,card6,0.059583,0.021105
1,5,DT,0.052500,0.021105
1,5,DI,0.005000,0.021105
1,5,M5,0.029167,0.021105
1,5,M6,0.010417,0.021105
1,5,M7,0.009583,0.021105
1,5,M8,0.007500,0.021105
1,5,M9,0.008750,0.021105
