seed,fold,feature,model_importance
3,1,Time,0.903485
3,1,V1,1.801339
3,1,V2,1.144773
3,1,V3,0.629091
3,1,V4,1.246064
3,1,V5,1.325183
3,1,V6,0.670457
3,1,V7,0.648979
3,1,V8,0.186348
3,1,V9,0.475706
3,1,V10,0.937511
3,1,V11,0.891705
3,1,V12,0.823182
3,1,V13,0.659913
3,1,V14,1.478103
3,1,V15,0.010944
3,1,V16,0.738691
3,1,V17,0.993380
3,1,V18,0.305405
3,1,V19,0.396198
3,1,V20,0.330344
3,1,V21,0.027417
3,1,V22,0.825195
3,1,V23,0.229809
3,1,V24,0.093914
3,1,V25,0.041868
3,1,V26,0.096641
3,1,V27,0.041350
3,1,V28,0.125229
3,1,Amount,0.696400
3,2,Time,0.788183
3,2,V1,1.604970
3,2,V2,0.601524
3,2,V3,0.630871
3,2,V4,1.477513
3,2,V5,0.970858
3,2,V6,0.645522
3,2,V7,0.406674
3,2,V8,0.280169
3,2,V9,0.735966
3,2,V10,1.080103
3,2,V11,0.745987
3,2,V12,1.239673
3,2,V13,0.591606
3,2,V14,1.434977
3,2,V15,0.006089
3,2,V16,0.838539
3,2,V17,0.954038
3,2,V18,0.245310
3,2,V19,0.311399
3,2,V20,0.269356
3,2,V21,0.005277
3,2,V22,0.625131
3,2,V23,0.151716
3,2,V24,0.064711
3,2,V25,0.053646
3,2,V26,0.675318
3,2,V27,0.054613
3,2,V28,0.089166
3,2,Amount,0.509761
3,3,Time,0.683329
3,3,V1,1.717093
3,3,V2,0.036636
3,3,V3,0.237400
3,3,V4,1.571685
3,3,V5,0.712385
3,3,V6,0.439703
3,3,V7,0.249716
3,3,V8,0.323679
3,3,V9,0.835624
3,3,V10,1.170975
3,3,V11,0.904523
3,3,V12,1.378907
3,3,V13,0.379541
3,3,V14,1.551532
3,3,V15,0.154713
3,3,V16,0.791725
3,3,V17,0.942543
3,3,V18,0.331615
3,3,V19,0.395688
3,3,V20,0.199335
3,3,V21,0.039864
3,3,V22,0.302544
3,3,V23,0.111274
3,3,V24,0.175687
3,3,V25,0.242290
3,3,V26,0.219879
3,3,V27,0.013606
3,3,V28,0.095558
3,3,Amount,0.303115
3,4,Time,0.878787
3,4,V1,1.567228
3,4,V2,0.294396
3,4,V3,0.422194
3,4,V4,1.516163
3,4,V5,0.841843
3,4,V6,0.502176
3,4,V7,0.271892
3,4,V8,0.307708
3,4,V9,0.649427
3,4,V10,1.135308
3,4,V11,1.035909
3,4,V12,1.150827
3,4,V13,0.499078
3,4,V14,1.359481
3,4,V15,0.028641
3,4,V16,0.555559
3,4,V17,0.939619
3,4,V18,0.392522
3,4,V19,0.348961
3,4,V20,0.182527
3,4,V21,0.073628
3,4,V22,0.830471
3,4,V23,0.119625
3,4,V24,0.040656
3,4,V25,0.040330
3,4,V26,0.282525
3,4,V27,0.046166
3,4,V28,0.106035
3,4,Amount,0.368958
3,5,Time,0.639272
3,5,V1,1.664502
3,5,V2,0.837885
3,5,V3,0.703673
3,5,V4,1.230487
3,5,V5,0.934903
3,5,V6,0.725383
3,5,V7,0.647402
3,5,V8,0.179582
3,5,V9,0.555279
3,5,V10,0.973307
3,5,V11,0.869182
3,5,V12,1.018884
3,5,V13,0.536663
3,5,V14,1.352950
3,5,V15,0.322796
3,5,V16,0.703903
3,5,V17,0.626112
3,5,V18,0.283130
3,5,V19,0.192519
3,5,V20,0.413707
3,5,V21,0.041736
3,5,V22,0.581206
3,5,V23,0.172957
3,5,V24,0.014966
3,5,V25,0.123480
3,5,V26,0.283805
3,5,V27,0.012556
3,5,V28,0.106949
3,5,Amount,0.617480
