seed,fold,balanced_accuracy,sensitivity_recall,specificity,precision,f1,auprc
2,1,0.692804,0.637222,0.748386,0.084092,0.148577,0.066277
2,2,0.690812,0.599952,0.781673,0.090597,0.157422,0.068349
2,3,0.691833,0.616743,0.766923,0.087552,0.153337,0.067409
2,4,0.690623,0.617227,0.764018,0.086630,0.151936,0.066865
2,5,0.691542,0.658118,0.724966,0.079843,0.142408,0.064509
