seed,fold,feature,model_importance
3,1,TA,0.081801
3,1,card1,0.109538
3,1,card2,0.002009
3,1,card3,0.020477
3,1,card5,0.151951
3,1,PCD,0.023627
3,1,M1,0.465440
3,1,M2,0.327202
3,1,M3,0.450866
3,1,M4,0.016474
3,1,card4,0.090418
3,1,card6,0.251723
3,1,DT,0.024437
3,1,DI,0.022257
3,1,M5,0.636036
3,1,M6,0.534644
3,1,M7,0.160691
3,1,M8,0.202623
3,1,M9,0.244857
3,2,TA,0.077721
3,2,card1,0.095395
3,2,card2,0.010838
3,2,card3,0.020959
3,2,card5,0.135938
3,2,PCD,0.013869
3,2,M1,0.413165
3,2,M2,0.290988
3,2,M3,0.355344
3,2,M4,0.012187
3,2,card4,0.083101
3,2,card6,0.253749
3,2,DT,0.021123
3,2,DI,0.017594
3,2,M5,0.517227
3,2,M6,0.516257
3,2,M7,0.181924
3,2,M8,0.213850
3,2,M9,0.184935
3,3,TA,0.080683
3,3,card1,0.092147
3,3,card2,0.003548
3,3,card3,0.021454
3,3,card5,0.142058
3,3,PCD,0.019862
3,3,M1,0.501120
3,3,M2,0.354343
3,3,M3,0.406158
3,3,M4,0.017041
3,3,card4,0.097572
3,3,card6,0.236497
3,3,DT,0.025401
3,3,DI,0.023590
3,3,M5,0.641268
3,3,M6,0.546088
3,3,M7,0.200897
3,3,M8,0.217736
3,3,M9,0.289643
3,4,TA,0.082029
3,4,card1,0.076810
3,4,card2,0.007095
3,4,card3,0.020566
3,4,card5,0.146060
3,4,PCD,0.020055
3,4,M1,0.471882
3,4,M2,0.361152
3,4,M3,0.486167
3,4,M4,0.016501
3,4,card4,0.086754
3,4,card6,0.242242
3,4,DT,0.026443
3,4,DI,0.023322
3,4,M5,0.635230
3,4,M6,0.513573
3,4,M7,0.219905
3,4,M8,0.225562
3,4,M9,0.214782
3,5,TA,0.081579
3,5,card1,0.088899
3,5,card2,0.004961
3,5,card3,0.022048
3,5,card5,0.144888
3,5,PCD,0.020015
3,5,M1,0.606597
3,5,M2,0.392260
3,5,M3,0.347901
3,5,M4,0.016258
3,5,card4,0.074054
3,5,card6,0.247610
3,5,DT,0.026322
3,5,DI,0.021074
3,5,M5,0.621303
3,5,M6,0.508309
3,5,M7,0.164025
3,5,M8,0.205595
3,5,M9,0.216031
