seed,fold,feature,shap_importance,time_to_generate
1,1,TA,0.085417,1.964435
1,1,card1,0.103750,1.964435
1,1,card2,0.070417,1.964435
1,1,card3,0.025000,1.964435
1,1,card5,0.031250,1.964435
1,1,PCD,0.036250,1.964435
1,1,M1,0.002917,1.964435
1,1,M2,0.009167,1.964435
1,1,M3,0.012500,1.964435
1,1,M4,0.130000,1.964435
1,1,card4,0.024167,1.964435
1,1,card6,0.000833,1.964435
1,1,DT,0.018333,1.964435
1,1,DI,0.031250,1.964435
1,1,M5,0.037500,1.964435
1,1,M6,0.046667,1.964435
1,1,M7,0.002500,1.964435
1,1,M8,0.007500,1.964435
1,1,M9,0.003750,1.964435
1,2,TA,0.069167,1.695140
1,2,card1,0.042083,1.695140
1,2,card2,0.049583,1.695140
1,2,card3,0.035000,1.695140
1,2,card5,0.025000,1.695140
1,2,PCD,0.076667,1.695140
1,2,M1,0.021250,1.695140
1,2,M2,0.043750,1.695140
1,2,M3,0.038333,1.695140
1,2,M4,0.030417,1.695140
1,2,card4,0.047917,1.695140
1,2,card6,0.087917,1.695140
1,2,DT,0.003750,1.695140
1,2,DI,0.006667,1.695140
1,2,M5,0.072917,1.695140
1,2,M6,0.005000,1.695140
1,2,M7,0.018333,1.695140
1,2,M8,0.003750,1.695140
1,2,M9,0.000000,1.695140
1,3,TA,0.064167,1.627308
1,3,card1,0.050833,1.627308
1,3,card2,0.067083,1.627308
1,3,card3,0.046667,1.627308
1,3,card5,0.042917,1.627308
1,3,PCD,0.087500,1.627308
1,3,M1,0.029167,1.627308
1,3,M2,0.001250,1.627308
1,3,M3,0.005833,1.627308
1,3,M4,0.012917,1.627308
1,3,card4,0.005000,1.627308
1,3,card6,0.097500,1.627308
1,3,DT,0.043750,1.627308
1,3,DI,0.007500,1.627308
1,3,M5,0.027083,1.627308
1,3,M6,0.074167,1.627308
1,3,M7,0.019583,1.627308
1,3,M8,0.009583,1.627308
1,3,M9,0.004167,1.627308
1,4,TA,0.104167,1.744612
1,4,card1,0.094167,1.744612
1,4,card2,0.078333,1.744612
1,4,card3,0.037500,1.744612
1,4,card5,0.024583,1.744612
1,4,PCD,0.045000,1.744612
1,4,M1,0.008333,1.744612
1,4,M2,0.004167,1.744612
1,4,M3,0.032917,1.744612
1,4,M4,0.000417,1.744612
1,4,card4,0.005833,1.744612
1,4,card6,0.024583,1.744612
1,4,DT,0.027917,1.744612
1,4,DI,0.022083,1.744612
1,4,M5,0.061667,1.744612
1,4,M6,0.062917,1.744612
1,4,M7,0.006250,1.744612
1,4,M8,0.016667,1.744612
1,4,M9,0.007500,1.744612
1,5,TA,0.031667,1.680608
1,5,card1,0.044583,1.680608
1,5,card2,0.046250,1.680608
1,5,card3,0.170417,1.680608
1,5,card5,0.031667,1.680608
1,5,PCD,0.116667,1.680608
1,5,M1,0.015000,1.680608
1,5,M2,0.018750,1.680608
1,5,M3,0.002917,1.680608
1,5,M4,0.022917,1.680608
1,5,card4,0.005417,1.680608
1,5,card6,0.039583,1.680608
1,5,DT,0.081250,1.680608
1,5,DI,0.015417,1.680608
1,5,M5,0.047500,1.680608
1,5,M6,0.042500,1.680608
1,5,M7,0.010000,1.680608
1,5,M8,0.010833,1.680608
1,5,M9,0.045000,1.680608
