seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
1,1,V14,V14 <= -7.43,0.102960,0.096202
1,1,V12,V12 <= -5.48,0.093397,0.096202
1,1,V10,V10 <= -4.57,0.057155,0.096202
1,1,V17,V17 <= -6.21,0.057012,0.096202
1,1,V4,V4 > 2.68,0.050873,0.096202
1,1,V16,V16 <= -3.63,0.046425,0.096202
1,1,V11,V11 > 2.40,0.034740,0.096202
1,1,V3,V3 <= -2.73,0.033851,0.096202
1,1,V7,V7 <= -2.89,0.029293,0.096202
1,1,V1,V1 <= -1.30,0.012448,0.096202
1,2,V14,V14 <= -7.30,0.106740,0.140646
1,2,V12,V12 <= -5.32,0.089776,0.140646
1,2,V17,V17 <= -5.98,0.059954,0.140646
1,2,V4,V4 > 2.55,0.045019,0.140646
1,2,V16,V16 <= -3.45,0.044354,0.140646
1,2,V10,V10 <= -4.52,0.044350,0.140646
1,2,V11,V11 > 2.38,0.037659,0.140646
1,2,V3,V3 <= -2.67,0.036420,0.140646
1,2,V7,V7 <= -2.73,0.035535,0.140646
1,2,V21,V21 <= -0.33,-0.013483,0.140646
1,3,V14,V14 > 0.06,-0.107528,0.141943
1,3,V3,V3 > 0.08,-0.060759,0.141943
1,3,V12,-5.37 < V12 <= -0.93,0.059418,0.141943
1,3,V4,0.87 < V4 <= 2.56,0.054904,0.141943
1,3,V16,V16 > 0.23,-0.039381,0.141943
1,3,V10,-0.79 < V10 <= 0.09,-0.033624,0.141943
1,3,V17,-0.54 < V17 <= 0.34,-0.025338,0.141943
1,3,V7,V7 > 0.20,-0.017316,0.141943
1,3,V18,-0.36 < V18 <= 0.34,0.015765,0.141943
1,3,V8,-0.36 < V8 <= 0.28,0.011668,0.141943
1,4,V14,V14 <= -7.16,0.099895,0.071648
1,4,V12,V12 <= -5.33,0.070942,0.071648
1,4,V10,V10 <= -4.45,0.065174,0.071648
1,4,V17,V17 <= -5.83,0.050994,0.071648
1,4,V3,V3 <= -2.70,0.046239,0.071648
1,4,V16,V16 <= -3.51,0.043962,0.071648
1,4,V4,V4 > 2.63,0.043344,0.071648
1,4,V11,V11 > 2.33,0.027439,0.071648
1,4,V7,V7 <= -2.69,0.024966,0.071648
1,4,V1,V1 <= -1.18,0.013854,0.071648
1,5,V14,V14 <= -7.25,0.122382,0.144909
1,5,V17,V17 <= -6.08,0.072047,0.144909
1,5,V12,V12 <= -5.27,0.067249,0.144909
1,5,V10,V10 <= -4.35,0.060124,0.144909
1,5,V4,V4 > 2.59,0.046049,0.144909
1,5,V16,V16 <= -3.56,0.042052,0.144909
1,5,V3,V3 <= -2.63,0.035914,0.144909
1,5,V11,V11 > 2.38,0.028392,0.144909
1,5,V7,V7 <= -2.53,0.020270,0.144909
1,5,V13,V13 > 0.47,-0.013121,0.144909
