seed,fold,feature,model_importance
4,1,Time,0.655731
4,1,V1,1.896675
4,1,V2,0.917407
4,1,V3,0.666890
4,1,V4,1.161751
4,1,V5,1.131321
4,1,V6,0.692485
4,1,V7,0.719520
4,1,V8,0.221133
4,1,V9,0.549252
4,1,V10,0.830911
4,1,V11,0.839018
4,1,V12,1.081086
4,1,V13,0.452446
4,1,V14,1.426097
4,1,V15,0.073657
4,1,V16,0.723435
4,1,V17,0.866122
4,1,V18,0.269705
4,1,V19,0.410615
4,1,V20,0.331329
4,1,V21,0.021435
4,1,V22,0.650768
4,1,V23,0.240258
4,1,V24,0.066475
4,1,V25,0.169679
4,1,V26,0.190526
4,1,V27,0.040736
4,1,V28,0.152470
4,1,Amount,0.660346
4,2,Time,0.734882
4,2,V1,1.871019
4,2,V2,0.274249
4,2,V3,0.573390
4,2,V4,1.678864
4,2,V5,0.929908
4,2,V6,0.543402
4,2,V7,0.410459
4,2,V8,0.315956
4,2,V9,0.977973
4,2,V10,1.544593
4,2,V11,0.968814
4,2,V12,1.306986
4,2,V13,0.696025
4,2,V14,1.498590
4,2,V15,0.076106
4,2,V16,0.959082
4,2,V17,1.151006
4,2,V18,0.206368
4,2,V19,0.436605
4,2,V20,0.306271
4,2,V21,0.034624
4,2,V22,0.694442
4,2,V23,0.098335
4,2,V24,0.017433
4,2,V25,0.048306
4,2,V26,0.216907
4,2,V27,0.040951
4,2,V28,0.065423
4,2,Amount,0.433964
4,3,Time,0.895549
4,3,V1,1.805194
4,3,V2,0.860594
4,3,V3,0.521672
4,3,V4,1.423073
4,3,V5,1.109272
4,3,V6,0.662361
4,3,V7,0.517122
4,3,V8,0.259278
4,3,V9,0.457622
4,3,V10,0.915272
4,3,V11,0.968383
4,3,V12,1.076045
4,3,V13,0.467588
4,3,V14,1.412682
4,3,V15,0.135569
4,3,V16,0.699340
4,3,V17,0.919187
4,3,V18,0.474307
4,3,V19,0.428888
4,3,V20,0.256010
4,3,V21,0.001244
4,3,V22,0.602321
4,3,V23,0.262912
4,3,V24,0.111994
4,3,V25,0.062956
4,3,V26,0.189200
4,3,V27,0.075805
4,3,V28,0.143907
4,3,Amount,0.589309
4,4,Time,0.934363
4,4,V1,1.683394
4,4,V2,0.786622
4,4,V3,0.539415
4,4,V4,1.206820
4,4,V5,1.055230
4,4,V6,0.616085
4,4,V7,0.572133
4,4,V8,0.211656
4,4,V9,0.577963
4,4,V10,0.852233
4,4,V11,0.744166
4,4,V12,1.089629
4,4,V13,0.549913
4,4,V14,1.453324
4,4,V15,0.194096
4,4,V16,0.741729
4,4,V17,0.869940
4,4,V18,0.233024
4,4,V19,0.443704
4,4,V20,0.302372
4,4,V21,0.035918
4,4,V22,0.661184
4,4,V23,0.182987
4,4,V24,0.017844
4,4,V25,0.002395
4,4,V26,0.367175
4,4,V27,0.026249
4,4,V28,0.121584
4,4,Amount,0.586799
4,5,Time,0.534158
4,5,V1,1.215626
4,5,V2,0.199256
4,5,V3,0.501362
4,5,V4,1.444449
4,5,V5,0.555064
4,5,V6,0.488491
4,5,V7,0.084961
4,5,V8,0.213469
4,5,V9,0.609974
4,5,V10,1.137475
4,5,V11,0.934695
4,5,V12,1.077120
4,5,V13,0.355462
4,5,V14,1.367029
4,5,V15,0.182608
4,5,V16,0.454621
4,5,V17,0.651267
4,5,V18,0.397048
4,5,V19,0.085865
4,5,V20,0.230563
4,5,V21,0.138801
4,5,V22,0.537527
4,5,V23,0.042561
4,5,V24,0.120437
4,5,V25,0.047229
4,5,V26,0.682627
4,5,V27,0.047367
4,5,V28,0.043159
4,5,Amount,0.277437
