seed,fold,balanced_accuracy,sensitivity_recall,specificity,precision,f1,auprc
2,1,0.619528,0.375847,0.863208,0.090586,0.145986,0.055882
2,2,0.585860,0.390126,0.781594,0.060819,0.105232,0.045063
2,3,0.539885,0.454150,0.625620,0.042135,0.077116,0.038237
2,4,0.589583,0.399952,0.779215,0.061640,0.106817,0.045651
2,5,0.596814,0.327123,0.866506,0.081608,0.130628,0.050242
